"","condition","observe","expect","z_score","log2FC","upper.p","lower.p"
"0_121000","0_121000",52427,52260.9188,2.40460511064827,0.00457750478533725,0.00809497480852736,0.991905025191473
"0_122000","0_122000",52436,52272.7915,2.3648146917922,0.00449743103501819,0.00901954723089964,0.9909804527691
"0_123000","0_123000",52439,52284.4133,2.24347904938898,0.00425925054269239,0.0124329696933313,0.987567030306669
"0_124000","0_124000",52442,52295.7474,2.12526748049833,0.00402907343556675,0.0167821500695761,0.983217849930424
"0_125000","0_125000",52447,52306.9387,2.0359504201899,0.00385791438201697,0.0208776670498758,0.979122332950124
"0_126000","0_126000",52456,52317.859,2.0082329645171,0.00380429723650435,0.0223092707924613,0.977690729207539
"0_127000","0_127000",52464,52328.6244,1.97019234547936,0.00372747254955294,0.0244081652435328,0.975591834756467
"0_128000","0_128000",52471,52339.2853,1.91953841741392,0.00362606101094931,0.0274581145933727,0.972541885406627
"0_129000","0_129000",52479,52349.6768,1.88632491394776,0.00355959914133658,0.0296255919797437,0.970374408020256
"0_130000","0_130000",52482,52359.8382,1.78455623891117,0.00336206052531948,0.0371666624875621,0.962833337512438
"0_131000","0_131000",52488,52369.9206,1.7264385600344,0.00324920875491699,0.0421342718454038,0.957865728154596
"0_132000","0_132000",52492,52379.8253,1.64018621276908,0.00308631884034657,0.0504832275464712,0.949516772453529
"0_133000","0_133000",52499,52389.5293,1.60120321585354,0.00301144261266854,0.0546659584091342,0.945334041590866
"0_134000","0_134000",52506,52398.9911,1.56623012523255,0.00294325868173542,0.0586473762610561,0.941352623738944
"0_135000","0_135000",52511,52408.3634,1.50296607336396,0.00282261264782107,0.0664238964557672,0.933576103544233
"0_136000","0_136000",52515,52417.555,1.42830519734181,0.00267950129817303,0.0766020162723063,0.923397983727694
"0_137000","0_137000",52520,52426.6874,1.36859598444237,0.00256552472657921,0.0855627999622822,0.914437200037718
"0_138000","0_138000",52523,52435.552,1.28355214007724,0.0024040123024542,0.0996493524347646,0.900350647565235
"0_139000","0_139000",52528,52444.2851,1.22987851201379,0.00230108540683349,0.109371300979155,0.890628699020845
"0_140000","0_140000",52533,52452.9194,1.17750518686536,0.00220090289360999,0.11949696424684,0.88050303575316
"0_141000","0_141000",52539,52461.2408,1.14418739632866,0.00213681096113671,0.126272964460056,0.873727035539944
"0_142000","0_142000",52548,52469.4528,1.1566548791822,0.00215811132388906,0.123706695576432,0.876293304423568
"0_143000","0_143000",52550,52477.4769,1.06874345046585,0.00199240687175452,0.142592643436246,0.857407356563754
"0_144000","0_144000",52554,52485.4139,1.01215563080627,0.00188403260704477,0.155731823418845,0.844268176581155
"0_145000","0_145000",52556,52493.2031,0.927221545918691,0.00172484482187777,0.176905759136751,0.823094240863249
"0_146000","0_146000",52559,52500.8824,0.858982027028793,0.0015961560197035,0.195175215979434,0.804824784020566
"0_147000","0_147000",52559,52508.3406,0.749576601731418,0.00139122338874697,0.22675487368648,0.77324512631352
"0_148000","0_148000",52560,52515.6871,0.656056986832304,0.00121683724621408,0.255893729251193,0.744106270748807
"0_149000","0_149000",52564,52522.9919,0.607469603309828,0.00112596591527969,0.271769654575771,0.728230345424229
"0_150000","0_150000",52568,52530.2223,0.560101970581944,0.0010371574628146,0.287704943204467,0.712295056795533
"0_151000","0_151000",52572,52537.3639,0.513928950527515,0.000950806467860309,0.303650832921515,0.696349167078485
"0_152000","0_152000",52578,52544.3773,0.499568030723269,0.000922873044755487,0.308689636550627,0.691310363449373
"0_153000","0_153000",52580,52551.3039,0.426948718990866,0.000787581256109718,0.334708339643804,0.665291660356196
"0_154000","0_154000",52583,52558.0949,0.370833494267332,0.000683471386122311,0.355380776222594,0.644619223777406
"0_155000","0_155000",52584,52564.7001,0.28774657961007,0.000529609406599493,0.386770365909555,0.613229634090445
"0_156000","0_156000",52584,52571.133,0.191854219561536,0.000353062311922835,0.423928199342866,0.576071800657134
"0_157000","0_157000",52587,52577.5171,0.141558394078219,0.000260181536845158,0.443714416304222,0.556285583695778
"0_158000","0_158000",52588,52583.7651,0.0632765983766899,0.000116184590534358,0.474773125101159,0.525226874898841
"0_159000","0_159000",52591,52589.8929,0.0165544523750307,3.03706811340398e-05,0.493396030656268,0.506603969343732
"0_160000","0_160000",52594,52595.8524,-0.0277046320413973,-5.08119031075213e-05,0.511051135355901,0.488948864644099
"0_161000","0_161000",52599,52601.7354,-0.0409532222477647,-7.50251032130162e-05,0.516333406105723,0.483666593894277
"0_162000","0_162000",52603,52607.509,-0.0675541330294257,-0.000123658976753973,0.526929715759005,0.473070284240995
"0_163000","0_163000",52606,52613.2978,-0.109353751579448,-0.00020012488405493,0.543539042709745,0.456460957290255
"0_164000","0_164000",52607,52618.985,-0.179688605773184,-0.00032863935918153,0.571301480439513,0.428698519560487
"0_165000","0_165000",52610,52624.6205,-0.219271916107487,-0.000400874215743978,0.586780881360777,0.413219118639223
"0_166000","0_166000",52612,52630.1126,-0.271687645195404,-0.000496587493543094,0.607068899101944,0.392931100898056
"0_167000","0_167000",52613,52635.5035,-0.337501825833654,-0.000616933966141868,0.632130682005001,0.367869317994999
"0_168000","0_168000",52614,52640.888,-0.403456009752463,-0.000737090425733643,0.656693604957047,0.343306395042953
"0_169000","0_169000",52615,52646.174,-0.468052102852978,-0.000854533059256542,0.680126334844717,0.319873665155283
"0_170000","0_170000",52618,52651.3993,-0.501663820718478,-0.000915460835083859,0.69204799100084,0.30795200899916
"0_171000","0_171000",52621,52656.4721,-0.533218174589178,-0.000972200864548151,0.703058719040675,0.296941280959325
"0_172000","0_172000",52623,52661.3657,-0.57691242506614,-0.0010514383063842,0.718000691689134,0.281999308310866
"0_173000","0_173000",52626,52666.0868,-0.602767195791891,-0.00109852567494854,0.726668213729458,0.273331786270542
"0_174000","0_174000",52629,52670.7135,-0.627386391214673,-0.00114302044584536,0.734797006941498,0.265202993058502
